,mean,amplitude,rms,duration,number_of_peaks,zero_crossing_rate,peak-to-peak_value,peaks_mean,peaks_standard_deviation,Train label
0,142.31681020733652,1081.8033333333335,210.7455565555315,418,9,11,807.9166666666667,502.8440740740741,292.485058163377,5
1,466.63150905432593,2882.1633333333334,520.7366576714977,1988,27,40,2062.9866666666667,1655.044197530864,543.9587765317514,4
2,92.94930107526882,644.5266666666666,147.35587587317383,248,4,4,473.1966666666666,408.0566666666667,171.2075065689456,1
3,13.556294191919193,77.21666666666668,14.67426112951249,528,4,1,45.866666666666674,49.31333333333333,17.07382434540598,6
4,70.95735759493671,336.3,57.14188731664726,2528,50,12,217.27000000000004,176.03586666666666,56.674934308877305,4
5,126.16286754002913,663.5533333333334,154.92913084677096,458,9,10,437.0866666666667,426.1385185185185,160.5454162743182,2
6,16.481964064436184,198.81333333333336,27.790610805651745,538,5,1,167.08000000000004,88.83400000000002,60.13730165767888,6
7,262.1542580707896,1688.7933333333333,269.4361878371032,3428,57,58,1263.03,791.118947368421,324.40651617876426,4
8,47.560801451834415,217.94666666666663,34.17332941665973,3398,44,2,140.56666666666663,128.34227272727273,37.31258663778736,4
9,124.86324680210686,917.43,146.91608055398748,2658,34,36,682.8533333333332,443.65401960784317,152.76075203171047,4
10,96.79990298797051,726.3533333333334,95.84111652592199,1718,33,27,554.24,289.05747474747477,112.17078789021971,4
11,140.73518217893218,1826.0600000000002,248.90466186871396,1848,15,16,1596.1566666666668,786.226888888889,489.2811744657843,4
12,275.7962655321448,2352.0033333333336,385.37176353424525,2468,32,31,1911.446666666667,1146.9666666666667,487.5334884145852,4
13,143.2779221539362,1122.35,183.4709832427553,2278,29,29,901.2499999999999,543.1003448275861,266.17677072832635,4
14,212.92162710187938,1469.2366666666667,223.569648597868,1348,26,24,1125.4466666666667,647.2746153846153,256.90364845562107,4
15,19.000749601275917,76.38,15.902027705207729,418,9,1,35.37666666666666,51.3825925925926,9.686943966077248,6
16,434.4127998236331,4052.683333333334,557.8237521404606,2268,35,37,3326.293333333334,1533.3441904761908,744.6759241387919,4
17,412.68977738722907,2776.353333333333,516.1614622112593,1138,14,12,1935.8966666666665,1554.4385714285713,558.8323386407211,4
18,21.527501534683857,155.40666666666667,24.248851918311466,543,8,1,108.65666666666667,77.06083333333333,33.54651835511399,6
19,419.9581710331191,2912.5066666666667,539.4251450749063,2023,21,25,2199.4166666666665,1578.0079365079368,655.2394586532204,4
20,876.0383186549238,5713.753333333333,852.6706660225977,2498,35,22,4362.616666666667,2706.915809523809,943.6476251118663,4
21,335.7170708748615,2808.9799999999996,441.171956602964,2408,38,47,2255.956666666666,1226.6121052631577,607.3044172187007,4
22,444.070343658499,2567.2466666666664,405.7913780567466,2163,45,42,1882.3366666666666,1199.7637037037036,428.7500995306207,4
23,178.3893130201721,2063.5066666666667,249.65059961649013,2363,33,41,1771.3966666666665,691.7226262626262,412.78944903609994,4
24,85.26029026660356,988.0366666666665,122.92428641244504,2113,36,24,838.8433333333332,322.59148148148154,189.57576128214927,4
25,313.07965402177734,2385.77,373.7192851398156,1898,24,23,1883.8899999999999,1117.750277777778,493.40308122369277,4
26,406.6733501683502,3668.7933333333335,539.7640958204126,2178,25,35,2977.6200000000003,1605.2335999999998,803.9015875933073,4
27,159.61032849391407,1670.82,216.3070303156664,2273,29,33,1379.6833333333334,619.2657471264368,331.0995095398742,4
28,346.85990055387714,2811.4,401.23801584195866,2648,46,46,2223.806666666667,1134.911231884058,507.3041510991168,4
29,194.7804036341972,1948.2966666666664,283.85096921430653,2238,26,33,1621.0066666666664,819.2385897435896,450.4863159747361,4
30,407.44457078069325,4936.696666666667,603.6287169619513,2058,31,35,4163.013333333333,1731.0831182795698,925.9681153369926,4
31,376.4993539630836,3576.76,568.0158115038724,1228,17,20,2899.1833333333334,1473.3862745098038,811.3796069133601,4
32,94.45841804979254,869.8699999999999,122.72320511492053,1928,27,21,715.4499999999998,337.7754320987654,192.97339355219924,4
33,97.1735949481281,715.1900000000002,99.75614306700008,1478,24,20,535.9300000000002,289.5491666666667,107.68417293284789,4
34,392.47145240803945,3624.706666666667,561.7558318728827,1758,25,25,2948.0733333333337,1472.8397333333335,731.7425457631454,4
35,446.57387064002705,3133.7900000000004,405.9580232590186,2953,60,51,2439.0766666666673,1197.6710555555553,422.68543004027276,4
36,16.116778816199375,85.26,18.77283428771661,535,7,1,56.906666666666666,55.66904761904762,21.333652803730388,6
37,92.87743769470406,610.4466666666666,125.97647783848521,428,7,9,364.2533333333332,379.0571428571429,113.40372512048185,2
38,601.8915105956471,3563.023333333333,532.673145170873,2328,48,23,2578.0699999999997,1607.0013194444443,507.36693541159485,4
39,159.23184135977337,1299.4466666666665,284.339461102919,353,4,5,966.1066666666666,914.3408333333333,376.62641199628365,2
40,219.83122789456124,4092.523333333334,418.3955330001683,1998,23,29,3694.9300000000007,1112.7160869565218,948.6727330601623,4
41,20.11622057001239,188.05333333333337,29.165725845815416,538,9,1,154.5166666666667,74.73962962962963,44.99859946913697,6
42,361.931007556675,3282.6300000000006,485.95538954510846,1588,22,24,2722.743333333334,1436.775606060606,654.426948498144,4
43,198.5123709902371,2525.65,427.96391155363364,478,3,5,1775.246666666667,1392.0377777777778,803.9099378446768,5
44,99.75014595496246,1298.86,153.71139529105892,2398,28,29,1131.09,434.8422619047619,278.6224264524748,4
45,209.2301610611085,1422.073333333333,249.291407552158,2111,33,34,1049.933333333333,737.0165656565656,330.68815171370767,4
46,148.67396907216494,794.5600000000001,201.33369176974526,388,9,9,530.3600000000001,505.17407407407416,187.78786394856536,2
47,15.251584699453552,85.82,15.757772105624824,488,8,1,59.41666666666666,50.93166666666667,18.578793989683803,6
48,45.720532435740516,333.9166666666667,53.176645480800246,3268,46,10,261.7366666666667,159.23688405797103,69.22252756797891,4
49,103.86487042001787,1328.176666666667,171.29863120876715,373,6,6,1143.3300000000004,431.04555555555567,404.2319881448106,2
50,134.3478745904081,1179.5600000000002,174.68109513096397,2238,31,32,959.8700000000002,454.6694623655914,282.315471274984,4
51,93.44526022304834,1037.9533333333336,168.32608236258625,538,8,6,867.896666666667,425.73,301.468154643055,3
52,49.205239463601536,215.11666666666665,51.35090344903444,348,5,2,80.65666666666664,170.1566666666667,31.895402594522395,5
53,181.16726331360945,1381.71,211.20925569081905,2028,25,30,1089.1166666666668,630.0391999999999,289.8604578563508,4
54,147.14973045822103,1504.92,179.0702403315223,2968,40,44,1218.9033333333334,557.4237499999999,232.51414719704871,4
55,19.841082677165357,237.19666666666663,32.312953414783834,508,7,2,196.77999999999997,74.66571428571429,66.55583374462508,6
56,45.583117283950614,407.3666666666666,61.28438865992219,432,6,3,320.54999999999995,182.59555555555553,107.82460628719055,2
